post_id,post_url,post_date,post_type,caption,like_count,comment_count,view_count,hashtag_list,mention_list,scraped_at,batch_number,caption_word_count,is_valid_caption,filter_reason,clean_caption
3897534280486051776,https://www.instagram.com/p/DYW0scwR1_A/,2026-05-15T10:52:15.000Z,Image,"A vow in bloom, coming soon 🌹 

#ExperienceTheEssence #RumahAtsiri #AtsiriShop",235,3,,ExperienceTheEssence|RumahAtsiri|AtsiriShop,,2026-06-01T08:20:33+00:00,,9,true,,"A vow in bloom, coming soon 🌹 #ExperienceTheEssence #RumahAtsiri #AtsiriShop"
3907687439054184726,https://www.instagram.com/p/DY65QWiFKEW/,2026-05-29T11:04:25.000Z,Sidecar,"Introducing ROSA Eau de Parfum, a fragrance born from a rose that once inspired a nation. Unfolding with notes of rose, saffron, amber and oud, ROSA is a floral oriental blend inspired by those who carry hope and courage in every step… created to make whoever wears it feel the same quiet strength with every spray.

Now available at shop.rumahatsiri.com and all our online marketplaces.

#ExperienceTheEssence #AtsiriShop #RumahAtsiri",1555,56,,ExperienceTheEssence|AtsiriShop|RumahAtsiri,,2026-06-01T08:20:33+00:00,,70,true,,"Introducing ROSA Eau de Parfum, a fragrance born from a rose that once inspired a nation. Unfolding with notes of rose, saffron, amber and oud, ROSA is a floral oriental blend inspired by those who carry hope and courage in every step… created to make whoever wears it feel the same quiet strength with every spray. Now available at shop.rumahatsiri.com and all our online marketplaces. #ExperienceTheEssence #AtsiriShop #RumahAtsiri"
3902629583006055607,https://www.instagram.com/p/DYo7O3BAby3/,2026-05-22T11:35:21.000Z,Sidecar,"A new fragrance is blooming 🌹
#RumahAtsiri #AtsiriShop #ExperienceTheEssence",569,5,,RumahAtsiri|AtsiriShop|ExperienceTheEssence,,2026-06-01T08:20:33+00:00,,8,true,,A new fragrance is blooming 🌹 #RumahAtsiri #AtsiriShop #ExperienceTheEssence
3901143299197771787,https://www.instagram.com/p/DYjpSlWlCAL/,2026-05-20T10:22:22.000Z,Sidecar,"You do not need to conquer the wild. You only need to walk into it slowly and enjoy every second of it.
#AtsiriGlamping #RumahAtsiri #ExperienceTheEssence",249,1,,AtsiriGlamping|RumahAtsiri|ExperienceTheEssence,,2026-06-01T08:20:33+00:00,,25,true,,You do not need to conquer the wild. You only need to walk into it slowly and enjoy every second of it. #AtsiriGlamping #RumahAtsiri #ExperienceTheEssence
3906920972730157209,https://www.instagram.com/p/DY4K-zJGsiZ/,2026-05-28T09:41:35.000Z,Sidecar,"Minuman herbal bekerja dengan cara merambat pelan, menyapa tubuh lewat sistem pencernaan, lalu merayap ke aliran darah, menemani sel-sel bekerja dari dalam.

Jahe menghangatkan. Serai menyegarkan. Kunyit menenangkan. Bukan karena sihir, tetapi karena senyawa alami di dalamnya yang berinteraksi dengan sistem saraf, inflamasi, dan metabolisme.

Geser untuk menyimak ceirtanya lebih lengkap, ya.

#ExperienceTheEssence #RumahAtsiri",121,0,,ExperienceTheEssence|RumahAtsiri,,2026-06-01T08:20:33+00:00,,54,true,,"Minuman herbal bekerja dengan cara merambat pelan, menyapa tubuh lewat sistem pencernaan, lalu merayap ke aliran darah, menemani sel-sel bekerja dari dalam. Jahe menghangatkan. Serai menyegarkan. Kunyit menenangkan. Bukan karena sihir, tetapi karena senyawa alami di dalamnya yang berinteraksi dengan sistem saraf, inflamasi, dan metabolisme. Geser untuk menyimak ceirtanya lebih lengkap, ya. #ExperienceTheEssence #RumahAtsiri"
3896085871700091742,https://www.instagram.com/p/DYRrXU9GiNe/,2026-05-13T10:54:10.000Z,Sidecar,"Belajar tidak selalu harus di dalam ruang tertutup dengan papan tulis dan deretan meja berbaris rapi.

Kadang, ilmu datang dari menyentuh daun serai, mencium aroma kayu manis yang masih menempel di kulit pohon, atau menyaksikan tetesan minyak atsiri menetes perlahan dari alat penyulingan tua yang masih bekerja.

Di Rumah Atsiri, edukasi dirancang sebagai pengalaman menarik. Setiap program dapat disesuaikan dengan jenjang pendidikan dan kebutuhan kelompok.

Untuk informasi lebih lanjut & reservasi, hubungi +62 812 1114 4461

#ExperienceTheEssence #RumahAtsiri",205,0,,ExperienceTheEssence|RumahAtsiri,,2026-06-01T08:20:33+00:00,,77,true,,"Belajar tidak selalu harus di dalam ruang tertutup dengan papan tulis dan deretan meja berbaris rapi. Kadang, ilmu datang dari menyentuh daun serai, mencium aroma kayu manis yang masih menempel di kulit pohon, atau menyaksikan tetesan minyak atsiri menetes perlahan dari alat penyulingan tua yang masih bekerja. Di Rumah Atsiri, edukasi dirancang sebagai pengalaman menarik. Setiap program dapat disesuaikan dengan jenjang pendidikan dan kebutuhan kelompok. Untuk informasi lebih lanjut & reservasi, hubungi +62 812 1114 4461 #ExperienceTheEssence #RumahAtsiri"
3904785843773702026,https://www.instagram.com/p/DYwlglWGv-K/,2026-05-25T10:59:28.000Z,Sidecar,"Hadirnya kerap tak disadari, tetapi signage sebenarnya adalah cara ruang untuk menyapa.
Di Rumah Atsiri, setiap signage adalah percakapan kecil antara ruang dan orang yang melintas. Dari papan penunjuk yang ramah hingga warna-warna yang menyatu dengan lanskap, semua dirancang agar siapa pun merasa dipandu.
#ExperienceTheEssence #RumahAtsiri",375,2,,ExperienceTheEssence|RumahAtsiri,,2026-06-01T08:20:33+00:00,,46,true,,"Hadirnya kerap tak disadari, tetapi signage sebenarnya adalah cara ruang untuk menyapa. Di Rumah Atsiri, setiap signage adalah percakapan kecil antara ruang dan orang yang melintas. Dari papan penunjuk yang ramah hingga warna-warna yang menyatu dengan lanskap, semua dirancang agar siapa pun merasa dipandu. #ExperienceTheEssence #RumahAtsiri"
3899705487919830276,https://www.instagram.com/p/DYeiXrQGlUE/,2026-05-18T10:45:42.000Z,Sidecar,"Mangmoel, seniman instalasi rajut asal Bandung, menghabiskan satu bulan di Rumah Atsiri dan Atsiri Jawa untuk mencari aspirasi. Dalam residensinya, ia meruang, merenung, membiarkan ide-ide tumbuh bertunas bersama tanaman atsiri kami. Baginya, ada cerita yang hanya bisa diungkap melalui rajutan.

Terima kasih, Mangmoel, telah merajut cerita di sini.

#ExperienceTheEssence #RumahAtsiri",1264,13,,ExperienceTheEssence|RumahAtsiri,,2026-06-01T08:20:33+00:00,,50,true,,"Mangmoel, seniman instalasi rajut asal Bandung, menghabiskan satu bulan di Rumah Atsiri dan Atsiri Jawa untuk mencari aspirasi. Dalam residensinya, ia meruang, merenung, membiarkan ide-ide tumbuh bertunas bersama tanaman atsiri kami. Baginya, ada cerita yang hanya bisa diungkap melalui rajutan. Terima kasih, Mangmoel, telah merajut cerita di sini. #ExperienceTheEssence #RumahAtsiri"
3903339151819949750,https://www.instagram.com/p/DYrckceGka2/,2026-05-23T11:05:08.000Z,Sidecar,"Sehari penuh untuk merasakan, belajar dan berhenti sejenak dari rutinitas.

Full Day Trip di Rumah Atsiri dirancang untuk siapa saja yang ingin menyelami dunia aroma lebih dalam.

Cocok untuk individu, keluarga, komunitas, maupun kelompok studi yang ingin belajar dengan cara yang berbeda.

Untuk informasi lebih lanjut & reservasi, hubungi +62 822-2332-9600

#ExperienceTheEssence #RumahAtsiri",386,0,,ExperienceTheEssence|RumahAtsiri,,2026-06-01T08:20:33+00:00,,53,true,,"Sehari penuh untuk merasakan, belajar dan berhenti sejenak dari rutinitas. Full Day Trip di Rumah Atsiri dirancang untuk siapa saja yang ingin menyelami dunia aroma lebih dalam. Cocok untuk individu, keluarga, komunitas, maupun kelompok studi yang ingin belajar dengan cara yang berbeda. Untuk informasi lebih lanjut & reservasi, hubungi +62 822-2332-9600 #ExperienceTheEssence #RumahAtsiri"
3862730078514640953,https://www.instagram.com/p/DWbLIpxFPg5/,2026-03-28T10:22:10.000Z,Sidecar,"The Rest Well Package invites a slower rhythm, where quiet spaces, gentle evenings, and unhurried mornings support a more natural quality of rest. With turn-down service and a tropical herbal bath in selected rooms, each moment is prepared to ease the body into stillness. From arrival to departure, time moves softly here.

#AtsiriGlamping
#RumahAtsiri
#ExperienceTheEssence",165,1,,AtsiriGlamping|RumahAtsiri|ExperienceTheEssence,,2026-06-01T08:20:33+00:00,,55,true,,"The Rest Well Package invites a slower rhythm, where quiet spaces, gentle evenings, and unhurried mornings support a more natural quality of rest. With turn-down service and a tropical herbal bath in selected rooms, each moment is prepared to ease the body into stillness. From arrival to departure, time moves softly here. #AtsiriGlamping #RumahAtsiri #ExperienceTheEssence"
3884485330825449732,https://www.instagram.com/p/DXodtPXEREE/,2026-04-27T10:45:58.000Z,Sidecar,"Some days feel heavier than others. Let yourself rest and use aroma to to help navigate those moments. Because, sometimes, all it takes is one deep breath to feel a little more like yourself again.
#ExperienceTheEssence #AtsiriShop",316,1,,ExperienceTheEssence|AtsiriShop,,2026-06-01T08:20:33+00:00,,37,true,,"Some days feel heavier than others. Let yourself rest and use aroma to to help navigate those moments. Because, sometimes, all it takes is one deep breath to feel a little more like yourself again. #ExperienceTheEssence #AtsiriShop"
